age,annual_income,employment_years,loan_amount,credit_score,existing_debt,num_open_accounts,previous_defaults,loan_purpose,debt_to_income,loan_to_income,risk_category
45,42726.4,1.7,7440.24,763,10453.7,14,0,debt_consolidation,0.2447,0.1741,Low
27,61811.14,9.1,16266.25,722,18885.77,10,1,business,0.3055,0.2632,High
29,64473.57,3.7,28691.35,700,6603.29,1,1,home_improvement,0.1024,0.445,Medium
44,64693.56,4.0,25796.63,605,5960.94,7,0,debt_consolidation,0.0921,0.3987,Medium
21,73290.62,10.6,8912.11,743,10785.07,10,0,debt_consolidation,0.1472,0.1216,Low
64,39226.39,12.7,6286.97,524,6387.96,10,0,debt_consolidation,0.1628,0.1603,Medium
28,62809.57,8.7,13335.17,642,3426.84,12,1,business,0.0546,0.2123,Medium
44,124788.1,0.3,22214.25,662,15465.19,7,0,medical,0.1239,0.178,Low
31,38810.02,2.9,4851.92,780,1591.91,2,0,home_improvement,0.041,0.125,Medium
37,97743.21,2.1,19257.25,546,3363.0,5,0,debt_consolidation,0.0344,0.197,Low
28,75980.84,1.2,44630.36,758,3499.04,10,0,debt_consolidation,0.0461,0.5874,Low
55,42909.06,12.0,19609.85,743,4404.73,0,0,medical,0.1027,0.457,Low
55,44737.27,11.0,5253.74,747,3773.85,3,0,debt_consolidation,0.0844,0.1174,Low
53,52010.51,3.1,6770.67,604,1300.76,12,0,education,0.025,0.1302,Medium
25,73871.51,0.7,8831.09,686,10022.2,8,0,business,0.1357,0.1195,Low
62,59953.07,0.1,12246.4,722,9607.23,13,0,business,0.1602,0.2043,Low
59,38657.7,2.9,16471.83,674,3544.07,12,0,business,0.0917,0.4261,Medium
61,17308.85,0.2,20584.06,679,8628.84,6,0,other,0.4985,1.1892,Medium
48,68602.69,4.7,11169.2,689,15515.36,3,1,debt_consolidation,0.2262,0.1628,Low
27,18652.79,4.7,15578.03,599,4475.96,14,0,education,0.2399,0.8351,Medium
29,24760.63,11.5,6982.49,598,9879.07,10,0,debt_consolidation,0.399,0.282,Low
28,40085.16,1.1,8746.47,712,4178.89,2,0,debt_consolidation,0.1042,0.2182,Low
32,26714.47,2.3,22719.45,602,8759.18,13,0,education,0.3279,0.8504,Medium
54,57455.4,9.8,17523.28,677,27346.96,9,0,business,0.476,0.305,High
53,42273.09,3.2,18885.87,547,9433.83,14,0,home_improvement,0.2232,0.4467,Medium
43,72592.4,0.3,7161.08,633,3932.42,7,0,education,0.0542,0.0986,Low
44,21941.63,0.6,13059.32,771,5093.43,11,0,education,0.2321,0.5952,Low
57,35208.79,8.4,14061.65,667,3168.31,10,1,debt_consolidation,0.09,0.3994,High
55,49123.84,6.8,16216.33,745,5083.5,7,0,education,0.1035,0.3301,Low
64,50079.35,10.4,24596.45,785,3049.14,12,0,home_improvement,0.0609,0.4911,Medium
60,69356.71,0.6,13726.39,722,4668.48,5,0,home_improvement,0.0673,0.1979,Low
42,31029.87,7.1,34689.76,685,1105.59,6,0,business,0.0356,1.1179,Medium
47,38792.99,5.3,4108.7,642,3494.34,12,0,home_improvement,0.0901,0.1059,Low
55,63175.69,1.3,11103.64,633,4472.97,1,0,home_improvement,0.0708,0.1758,Low
21,16329.35,18.2,24820.61,624,16891.74,2,0,business,1.0344,1.5199,Medium
55,59424.84,4.2,8536.91,738,10290.78,12,0,debt_consolidation,0.1732,0.1437,Low
57,71824.02,11.9,22031.72,667,5024.8,13,0,business,0.07,0.3067,Medium
34,25164.0,9.8,14167.82,719,1850.42,3,1,home_improvement,0.0735,0.563,Medium
23,41876.85,2.0,41728.23,782,4673.58,5,0,business,0.1116,0.9964,Medium
21,103396.86,3.8,12201.33,805,3747.55,1,1,home_improvement,0.0362,0.118,High
25,68180.52,2.8,12289.51,706,2861.27,2,0,debt_consolidation,0.042,0.1802,Low
46,61297.0,6.2,39368.23,706,9167.98,13,0,debt_consolidation,0.1496,0.6422,High
34,80457.12,4.4,10755.01,634,3104.82,14,0,medical,0.0386,0.1337,Low
59,120846.03,7.7,25178.64,725,4061.03,7,0,home_improvement,0.0336,0.2084,Low
47,49477.19,0.1,16067.41,582,1611.87,2,0,business,0.0326,0.3247,Low
29,39990.83,5.8,25650.06,658,5277.99,9,0,debt_consolidation,0.132,0.6414,Medium
35,80359.79,1.9,10835.2,569,9965.75,14,0,home_improvement,0.124,0.1348,Medium
35,44634.99,1.3,12532.52,547,3011.59,7,0,education,0.0675,0.2808,Low
46,30822.21,8.1,10715.91,676,11584.39,6,0,other,0.3758,0.3477,Medium
62,37420.23,0.5,4087.5,572,10859.59,8,0,business,0.2902,0.1092,Medium
33,57306.24,1.3,11395.37,607,3725.63,5,0,debt_consolidation,0.065,0.1988,Medium
52,39151.82,1.1,91235.63,685,13836.0,12,0,debt_consolidation,0.3534,2.3302,High
59,40640.17,2.7,8609.3,727,12234.52,4,0,home_improvement,0.301,0.2118,Medium
52,29329.29,1.9,14582.54,808,8147.62,1,0,home_improvement,0.2778,0.4972,Medium
24,100476.91,6.4,27301.56,499,27102.74,10,0,home_improvement,0.2697,0.2717,High
50,41302.84,6.0,18268.16,581,10891.13,0,0,debt_consolidation,0.2637,0.4423,High
57,34346.13,2.0,12752.2,499,12606.36,3,0,education,0.367,0.3713,Medium
43,36222.6,2.9,7812.32,549,4796.11,6,0,education,0.1324,0.2157,High
59,73222.86,1.2,31742.38,692,2475.63,2,0,debt_consolidation,0.0338,0.4335,Low
35,65290.33,5.6,25982.33,648,2893.53,4,0,home_improvement,0.0443,0.3979,Low
63,38142.05,2.5,31292.19,522,4891.62,7,0,home_improvement,0.1282,0.8204,Medium
49,49819.24,0.7,29469.82,677,9899.71,14,0,debt_consolidation,0.1987,0.5915,High
56,56294.51,0.7,5673.08,774,4316.16,1,0,debt_consolidation,0.0767,0.1008,Low
33,34473.96,1.9,10817.48,566,10342.22,8,0,home_improvement,0.3,0.3138,Medium
52,22690.2,6.9,16100.13,684,1167.84,14,1,education,0.0515,0.7095,Medium
27,63419.0,0.1,7549.9,778,2345.85,4,0,education,0.037,0.119,Low
42,35441.29,1.5,9153.6,579,3157.53,4,0,home_improvement,0.0891,0.2583,High
48,61094.32,0.9,19620.8,643,2492.48,13,0,business,0.0408,0.3212,Medium
22,57555.98,15.7,19141.4,532,8338.49,2,0,debt_consolidation,0.1449,0.3326,Medium
62,50407.55,6.1,38427.44,758,4486.35,1,0,education,0.089,0.7623,High
26,39613.94,1.3,8666.83,683,2693.27,8,0,home_improvement,0.068,0.2188,Low
48,35704.64,1.2,7646.37,601,8211.56,10,1,debt_consolidation,0.23,0.2142,High
48,27744.46,9.8,47046.27,635,18771.29,3,0,home_improvement,0.6766,1.6956,High
64,36048.7,1.1,11528.34,725,8629.0,4,1,education,0.2394,0.3198,Low
64,65147.39,29.1,4272.27,522,3125.12,2,0,debt_consolidation,0.048,0.0656,Low
40,98608.51,1.7,16979.97,585,6172.07,5,0,medical,0.0626,0.1722,Low
50,91633.27,0.4,7009.33,668,2867.32,4,0,education,0.0313,0.0765,Low
31,52717.96,5.9,10596.02,721,9663.04,2,0,debt_consolidation,0.1833,0.201,Medium
48,98582.3,4.7,5706.8,687,5888.7,9,0,other,0.0597,0.0579,Low
45,42049.01,40.0,26026.86,534,14251.89,13,0,other,0.3389,0.619,Medium
59,25705.92,8.1,17067.42,730,5376.92,0,0,debt_consolidation,0.2092,0.6639,Low
53,128083.44,2.8,6162.19,744,5923.17,9,0,debt_consolidation,0.0462,0.0481,Medium
21,63985.01,5.6,15048.13,730,1521.53,14,0,home_improvement,0.0238,0.2352,Low
47,22758.29,8.5,19983.41,652,1115.68,12,0,other,0.049,0.878,High
33,106886.66,3.6,11766.44,604,6225.39,12,0,education,0.0582,0.1101,Low
61,33802.46,1.6,36070.41,766,1380.21,10,0,other,0.0408,1.0671,High
23,37686.56,1.2,24956.62,613,2549.28,13,0,debt_consolidation,0.0676,0.6622,High
59,81690.38,1.7,10005.73,661,6766.18,2,0,medical,0.0828,0.1225,Low
26,96843.69,9.4,11660.68,724,3721.74,2,0,debt_consolidation,0.0384,0.1204,Low
28,29721.63,2.4,6361.56,752,2062.62,4,0,other,0.0694,0.214,Low
47,102282.65,1.7,4827.21,592,3019.3,8,0,debt_consolidation,0.0295,0.0472,Medium
29,75895.93,8.2,7925.09,754,16376.17,14,0,home_improvement,0.2158,0.1044,Low
57,32863.75,0.2,8763.47,607,5432.56,11,0,medical,0.1653,0.2667,Medium
53,43349.34,4.5,29610.51,714,7176.78,11,1,medical,0.1656,0.6831,Medium
62,104617.69,10.3,5855.56,703,5347.04,3,0,medical,0.0511,0.056,Low
64,22465.12,2.6,14163.31,656,16289.29,11,0,debt_consolidation,0.7251,0.6304,Medium
44,97768.45,1.6,15194.78,541,6574.93,1,0,education,0.0672,0.1554,Low
35,74847.17,3.4,8740.52,569,7946.85,0,0,debt_consolidation,0.1062,0.1168,Low
52,63232.29,6.3,24629.46,729,1275.9,11,0,home_improvement,0.0202,0.3895,Low
52,52357.36,3.6,11075.14,687,4513.2,6,0,medical,0.0862,0.2115,Low
44,131277.54,0.0,9361.92,695,4204.05,8,0,home_improvement,0.032,0.0713,Low
61,141345.4,0.4,35788.93,628,2009.91,5,0,debt_consolidation,0.0142,0.2532,Low
32,36040.01,6.4,8061.23,620,1594.8,8,0,debt_consolidation,0.0442,0.2237,Low
59,66576.2,2.6,21313.32,688,3868.8,3,0,medical,0.0581,0.3201,Low
22,125139.98,7.7,9502.85,624,42672.12,5,1,debt_consolidation,0.341,0.0759,High
23,33106.26,5.2,6443.88,687,2172.46,1,1,medical,0.0656,0.1946,Medium
57,55357.63,4.4,10957.1,556,5920.44,10,0,debt_consolidation,0.1069,0.1979,Medium
37,80978.4,11.6,54910.07,657,4481.56,10,0,debt_consolidation,0.0553,0.6781,Medium
22,17899.95,0.1,5617.97,592,7916.99,9,0,education,0.4423,0.3138,Medium
22,74182.06,0.8,8775.83,668,22767.55,4,1,debt_consolidation,0.3069,0.1183,Medium
48,28446.6,4.9,27929.92,563,944.51,6,0,medical,0.0332,0.9818,Medium
43,53969.03,0.3,7601.57,754,2330.26,11,0,debt_consolidation,0.0432,0.1408,Low
57,86870.38,5.2,9310.02,520,16852.66,5,0,home_improvement,0.194,0.1072,Low
52,14844.87,20.7,14484.01,734,6657.76,12,0,medical,0.4485,0.9756,Medium
53,72615.19,10.6,11673.61,625,3352.35,0,0,home_improvement,0.0462,0.1608,Low
21,135830.69,4.5,18129.87,700,3595.36,2,0,business,0.0265,0.1335,Low
39,37547.03,11.2,11411.24,687,1325.99,4,1,home_improvement,0.0353,0.3039,Medium
22,65404.42,0.6,13406.11,608,6497.51,14,0,home_improvement,0.0993,0.205,High
64,95572.76,3.0,12351.85,617,5320.83,8,0,home_improvement,0.0557,0.1292,Low
46,22104.3,2.8,8179.9,734,4998.8,0,0,home_improvement,0.2261,0.37,Medium
52,71588.15,2.1,4402.4,663,3232.23,9,0,home_improvement,0.0451,0.0615,Medium
26,81787.78,0.0,42325.02,628,5905.01,8,0,education,0.0722,0.5175,Low
52,67461.35,11.1,8126.66,618,2356.96,12,0,home_improvement,0.0349,0.1205,Medium
24,51190.61,7.5,8423.65,631,2999.52,0,0,debt_consolidation,0.0586,0.1646,Low
31,29726.48,5.3,15048.56,783,6573.39,14,0,business,0.2211,0.5062,Low
37,98293.35,0.7,7182.13,770,3548.95,11,0,debt_consolidation,0.0361,0.0731,Low
58,49873.83,2.4,23142.93,786,5183.96,13,0,debt_consolidation,0.1039,0.464,Medium
44,31196.46,12.9,15564.78,782,3556.39,1,0,debt_consolidation,0.114,0.4989,Low
25,41814.02,4.8,11353.25,594,7180.17,3,0,home_improvement,0.1717,0.2715,Medium
54,58935.14,4.6,9899.05,656,3248.19,12,0,other,0.0551,0.168,Low
26,22458.12,12.2,6501.09,602,6272.13,5,0,debt_consolidation,0.2793,0.2895,High
42,49462.26,4.1,16122.95,722,9132.02,0,0,home_improvement,0.1846,0.326,Low
31,39797.58,4.6,14497.31,637,4722.99,6,0,debt_consolidation,0.1187,0.3643,Low
36,95608.14,2.1,9066.98,616,4163.25,12,0,business,0.0435,0.0948,Low
53,19197.87,2.3,18296.28,619,3480.44,8,0,business,0.1813,0.953,High
29,78384.29,5.8,34486.3,591,4212.38,8,0,debt_consolidation,0.0537,0.44,High
26,99563.15,1.9,13478.08,707,16149.99,8,0,education,0.1622,0.1354,Medium
36,19564.18,4.1,11517.9,693,11772.57,14,0,debt_consolidation,0.6017,0.5887,Medium
49,20772.99,1.6,7507.21,594,7486.08,1,0,debt_consolidation,0.3604,0.3614,Medium
23,119724.68,0.9,12143.42,723,3321.72,12,0,debt_consolidation,0.0277,0.1014,Low
40,31188.79,3.0,10387.52,676,14236.98,1,0,home_improvement,0.4565,0.333,Low
56,230363.68,1.2,7130.08,573,21076.57,0,0,business,0.0915,0.031,Low
39,19872.26,11.4,17513.85,566,1187.69,13,0,debt_consolidation,0.0598,0.8813,Medium
46,53371.05,1.8,15741.23,576,4593.59,14,0,home_improvement,0.0861,0.2949,High
23,48450.75,4.5,13986.35,723,5640.87,9,0,business,0.1164,0.2887,Low
39,44174.46,1.5,10750.12,768,3443.92,1,0,debt_consolidation,0.078,0.2434,Low
40,61789.03,1.5,23222.17,429,1453.14,2,0,debt_consolidation,0.0235,0.3758,Medium
52,63597.1,2.2,4674.22,555,2538.83,1,0,other,0.0399,0.0735,Medium
27,45078.94,12.4,4808.48,754,14875.01,4,0,education,0.33,0.1067,Medium
61,29522.65,2.5,15295.12,627,2308.77,3,1,business,0.0782,0.5181,Medium
53,82774.9,8.6,28527.68,734,2959.95,12,0,education,0.0358,0.3446,Low
60,67105.84,1.1,14361.59,656,5538.1,6,0,home_improvement,0.0825,0.214,Low
59,51911.3,0.2,14418.38,675,4869.2,6,0,other,0.0938,0.2777,Medium
38,66051.09,7.6,7127.19,738,3213.71,6,0,debt_consolidation,0.0487,0.1079,Low
60,72003.55,3.9,3689.76,648,9094.86,4,0,debt_consolidation,0.1263,0.0512,Low
21,33494.41,3.5,7444.42,583,8919.9,11,0,debt_consolidation,0.2663,0.2223,High
31,64882.95,1.6,19664.47,696,2433.84,9,0,debt_consolidation,0.0375,0.3031,Low
48,37178.36,0.4,5200.41,618,1723.2,3,1,debt_consolidation,0.0463,0.1399,Medium
45,73204.83,3.3,8013.55,832,6994.97,14,0,medical,0.0956,0.1095,Low
43,44524.74,10.1,5220.21,638,4629.32,7,0,business,0.104,0.1172,Low
51,66560.05,0.6,7761.05,692,7107.88,3,0,debt_consolidation,0.1068,0.1166,Low
50,39462.35,13.2,26475.44,724,4723.88,4,0,medical,0.1197,0.6709,Medium
62,68312.72,1.6,9287.68,747,3240.02,7,0,debt_consolidation,0.0474,0.136,Low
55,30049.92,3.8,23123.78,744,4195.79,13,0,debt_consolidation,0.1396,0.7695,High
27,49915.38,0.3,9427.46,744,14393.96,12,0,other,0.2884,0.1889,Low
36,80042.76,2.8,31720.72,642,2838.04,13,0,other,0.0355,0.3963,High
46,61920.24,0.7,16472.24,714,4159.96,2,0,home_improvement,0.0672,0.266,Low
22,53960.87,0.2,10133.02,499,1658.03,6,0,medical,0.0307,0.1878,Medium
21,120786.6,17.0,12123.48,702,1470.03,0,0,debt_consolidation,0.0122,0.1004,Low
32,81782.49,6.5,5625.55,706,1828.15,1,0,medical,0.0224,0.0688,Medium
25,75189.73,6.3,9831.88,717,1161.31,11,0,education,0.0154,0.1308,Low
57,68119.17,0.5,31330.29,721,1883.98,12,0,education,0.0277,0.4599,Low
52,72500.48,13.3,16573.91,722,7049.92,13,0,medical,0.0972,0.2286,Low
29,112257.54,3.2,3817.47,623,8469.04,12,0,business,0.0754,0.034,Low
61,39781.83,9.6,12056.38,630,1819.23,1,0,home_improvement,0.0457,0.3031,Medium
55,81202.55,0.1,14777.13,706,1826.93,10,0,education,0.0225,0.182,Low
39,58585.58,1.8,20959.36,509,4452.28,4,0,education,0.076,0.3578,High
36,40475.06,27.7,10668.91,533,30734.2,11,0,business,0.7593,0.2636,Medium
23,46636.44,2.8,12431.28,603,2815.05,1,0,education,0.0604,0.2666,Low
40,54697.72,11.0,24826.0,618,3864.36,3,0,debt_consolidation,0.0706,0.4539,Low
44,31889.43,2.0,11545.48,674,13680.79,0,0,business,0.429,0.362,High
53,75508.94,3.7,8628.11,818,12328.19,12,0,business,0.1633,0.1143,Low
44,46563.59,9.6,22058.29,614,8886.15,5,0,debt_consolidation,0.1908,0.4737,Low
31,51147.28,4.7,22306.96,687,10990.58,9,0,debt_consolidation,0.2149,0.4361,Medium
28,96625.82,6.5,3653.74,520,13231.49,12,1,home_improvement,0.1369,0.0378,High
56,52306.4,1.3,15605.24,615,3231.28,0,0,debt_consolidation,0.0618,0.2983,Medium
58,106546.23,0.8,7299.6,707,7361.3,1,1,education,0.0691,0.0685,High
60,37706.69,1.3,16982.64,620,3573.79,14,1,home_improvement,0.0948,0.4504,Low
40,28324.01,3.4,23660.25,602,2535.51,3,0,other,0.0895,0.8353,Medium
55,42404.23,8.1,19371.29,485,7605.37,3,0,other,0.1793,0.4568,Medium
45,11999.77,2.2,20553.09,590,4107.43,8,0,medical,0.3423,1.7126,High
55,77101.72,4.2,8989.25,741,4418.73,4,0,business,0.0573,0.1166,Medium
45,29159.93,8.2,10152.29,616,12534.33,9,0,business,0.4298,0.3481,Medium
49,35995.61,1.4,19065.07,657,6606.75,11,0,debt_consolidation,0.1835,0.5296,Medium
38,70132.34,10.7,13940.6,591,4352.7,3,0,education,0.0621,0.1988,Low
38,52029.21,15.3,5291.93,626,4530.88,4,0,other,0.0871,0.1017,Low
22,39329.39,0.2,22807.62,746,1646.38,6,0,home_improvement,0.0419,0.5799,Low
55,17707.24,0.3,5552.23,615,8503.53,8,0,medical,0.4802,0.3135,High
36,93939.29,0.5,16233.92,592,4434.88,8,0,home_improvement,0.0472,0.1728,Medium
61,70371.25,7.5,15128.89,748,4087.87,0,0,other,0.0581,0.215,Low
56,137017.05,1.0,27144.95,648,17796.41,3,0,home_improvement,0.1299,0.1981,Medium
53,36381.3,6.5,11597.39,626,9322.64,14,0,education,0.2562,0.3188,Medium
24,23689.21,2.9,3954.55,664,5814.88,14,1,medical,0.2455,0.1669,High
53,80609.97,9.0,14559.17,735,6724.66,3,0,education,0.0834,0.1806,Low
34,44621.45,8.3,16310.45,661,12082.56,6,0,home_improvement,0.2708,0.3655,High
41,67109.77,16.1,25442.46,595,4150.04,11,0,debt_consolidation,0.0618,0.3791,Low
40,110189.58,1.4,9732.8,660,8837.41,13,0,debt_consolidation,0.0802,0.0883,Low
28,59520.53,1.3,20372.01,525,2107.54,5,0,debt_consolidation,0.0354,0.3423,Low
27,53297.75,0.2,22884.62,577,5964.21,7,0,education,0.1119,0.4294,Medium
23,54995.21,2.6,8610.23,677,1328.41,11,0,home_improvement,0.0242,0.1566,Low
37,21620.04,3.1,16158.49,652,5571.48,3,0,home_improvement,0.2577,0.7474,Medium
53,85307.62,16.7,5523.78,682,13424.09,11,1,debt_consolidation,0.1574,0.0648,Low
32,88083.73,8.9,18740.87,684,3260.54,7,0,debt_consolidation,0.037,0.2128,Low
42,63913.44,0.9,15266.74,716,5151.32,10,1,home_improvement,0.0806,0.2389,High
42,22978.12,8.0,6353.63,659,2822.05,5,1,debt_consolidation,0.1228,0.2765,Low
50,46139.54,1.0,10528.48,731,5902.86,1,0,business,0.1279,0.2282,Medium
58,100635.75,0.4,25615.78,687,2021.82,0,0,medical,0.0201,0.2545,Low
58,36942.69,9.1,15061.68,691,2000.03,9,1,education,0.0541,0.4077,Low
28,88621.21,18.6,8869.04,583,7171.07,13,0,debt_consolidation,0.0809,0.1001,Medium
47,50390.01,0.5,8428.13,593,2285.78,12,0,home_improvement,0.0454,0.1673,Low
47,70000.1,8.4,24389.28,608,16492.0,8,0,business,0.2356,0.3484,Medium
54,39891.93,9.8,9950.49,802,15913.13,7,0,business,0.3989,0.2494,Low
41,51133.26,0.6,15250.52,760,2256.94,13,0,education,0.0441,0.2982,Low
